three_cols_present,only_discrete,discrete_partial_integ,only_top,only_bottom,fully_integrated,no_depths,depth_flag,n
0,0,0,0,0,0,1,0,3016539
0,1,0,0,0,0,0,1,1557623
0,0,0,0,0,1,0,2,86352
0,0,0,0,1,0,0,2,2374
0,0,0,1,0,0,0,2,111
0,0,1,0,0,0,0,3,166490
1,0,0,0,0,0,0,3,53093
