step,reason,short_reason,number_dropped,n_rows,order
doc harmonization,Starting dataset,Starting,0,2595085,0
doc harmonization,Dropped rows while cleaning approximate values,Clean approximates,0,2518020,4
doc harmonization,"Dropped rows indicating fails, missing data, etc.","Fails, etc.",77065,2518020,2
doc harmonization,Dropped rows while filtering fraction types,Fraction types,760401,436145,7
doc harmonization,Dropped rows while harmonizing units,Harmonize units,19367,2498653,5
doc harmonization,Dropped rows while cleaning MDLs,Clean MDLs,0,2518020,3
doc harmonization,Filtered for only water media,Water media,0,2595085,1
doc harmonization,Dropped rows while aggregating analytical methods,Analytical methods,1302107,1196546,6
