reason,short_reason,number_dropped,n_rows,order,step
Starting dataset,Start,0,4019064,0,tsspre-harmonization
Removed missing results,Remove missing,216398,3802666,1,tsspre-harmonization
Keep only status = accepted/final/historical/validated/preliminary/NA,Finalized statuses,7258,3795408,2,tsspre-harmonization
