ResultMeasure.MeasureUnitCode,conversion
mg/l,1
mg/L,1
ppm,1
ug/l,0.001
ug/L,0.001
mg/m3,0.001
ppb,0.001
mg/cm3,1000
ug/ml,1
mg/ml,1000
ppt,1000
ug/mL,1
mg/mL,1000
g/L,1000
