three_cols_present,only_discrete,discrete_partial_integ,only_top,only_bottom,fully_integrated,no_depths,depth_flag,n
0,0,0,0,0,0,1,0,1179257
0,1,0,0,0,0,0,1,896632
0,0,0,0,0,1,0,2,30459
0,0,0,0,1,0,0,2,47
0,0,0,1,0,0,0,2,219
0,0,1,0,0,0,0,3,117368
1,0,0,0,0,0,0,3,36888
