reason,short_reason,number_dropped,n_rows,order,step
Starting dataset,Start,0,2699867,0,docpre-harmonization
Removed missing results,Remove missing,99791,2600076,1,docpre-harmonization
Keep only status = accepted/final/historical/validated/preliminary/NA,Finalized statuses,1128,2598948,2,docpre-harmonization
